1190.91,776.041
1095.04,775.638
1000.56,775.333
907.167,775.111
814.815,774.908
723.139,774.747
632.108,774.646
541.764,774.599
1191.57,682.455
1096.5,682.689
1002.75,682.88
909.995,683.143
818.299,683.332
727.203,683.579
637.009,683.865
547.449,684.262
1192.65,590.168
1098.06,590.92
1003.83,591.788
912.261,592.489
820.871,593.131
731.379,593.848
641.912,594.392
552.922,595.013
1193.6,499.386
1099.73,500.697
1006.63,501.884
915.474,503.05
824.855,503.762
735.299,505.013
646.416,506.239
557.98,507.258
1194.56,409.663
1101.34,411.438
1009.31,413.27
917.806,414.838
828.001,416.321
739.408,417.711
650.886,419.098
563.116,420.382
