1279.51,799.52
1179.53,799.506
1079.51,799.517
979.501,799.516
879.511,799.511
779.503,799.524
679.513,799.518
579.504,799.508
1279.51,699.519
1179.5,699.517
1079.53,699.506
979.51,699.505
879.503,699.521
779.504,699.529
679.495,699.518
579.503,699.514
1279.51,599.501
1179.52,599.497
1079.51,599.516
979.519,599.497
879.508,599.515
779.497,599.513
679.511,599.506
579.497,599.514
1279.5,499.513
1179.51,499.509
1079.53,499.504
979.508,499.521
879.516,499.494
779.513,499.504
679.498,499.516
579.489,499.512
1279.51,399.509
1179.51,399.515
1079.52,399.508
979.502,399.51
879.502,399.516
779.523,399.502
679.498,399.51
579.504,399.519
